av_pred_class,av_training_set,kepid,spline_bkspace,tce_depth,tce_duration,tce_impact,tce_max_mult_ev,tce_model_snr,tce_period,tce_plnt_num,tce_prad,tce_time0bk
AFP,AFP,11295805,0.6071401238441467,30.489999771118164,0.20154166221618652,0.30000001192092896,9.557999610900879,10.279999732971191,2.057379961013794,1,0.8539999723434448,132.8300018310547
PC,PC,11073656,2.8697266578674316,332.6000061035156,0.07504166662693024,0.5062000155448914,21.299999237060547,24.229999542236328,1.834280014038086,1,1.7910000085830688,132.8560028076172
AFP,AFP,3240556,20.0,56.439998626708984,0.08712500333786011,0.6830000281333923,8.062999725341797,9.236000061035156,0.6556529998779297,5,2.4140000343322754,131.67999267578125
PC,PC,4139816,3.484652519226074,1349.0,0.1977083384990692,0.595300018787384,19.729999542236328,21.020000457763672,46.18439865112305,3,1.8930000066757202,165.23500061035156
NTP,NTP,10281360,0.5,17.34000015258789,0.37183332443237305,0.4438000023365021,7.379000186920166,1.878999948501587,1.312999963760376,2,0.8999000191688538,131.85000610351562
AFP,AFP,7918688,20.0,59.02000045776367,0.11991667002439499,0.802299976348877,25.360000610351562,12.630000114440918,0.8046910166740417,1,1.215000033378601,131.96499633789062
NTP,NTP,7091610,0.5,450.79998779296875,0.4866666793823242,0.7512000203132629,12.029999732971191,3.5929999351501465,459.1919860839844,1,98.05999755859375,260.31298828125
PC,PC,6359320,2.3633148670196533,308.6000061035156,0.15808333456516266,0.7081000208854675,12.0,12.760000228881836,8.128000259399414,2,1.7319999933242798,139.22999572753906
AFP,AFP,1725193,0.6071401238441467,35790.0,0.21545833349227905,0.890999972820282,2292.0,1779.0,2.9638400077819824,1,29.040000915527344,134.11900329589844
AFP,AFP,5428668,5.138038635253906,398.0,0.031079167500138283,0.901199996471405,15.529999732971191,23.329999923706055,0.7033950090408325,1,2.184999942779541,131.66299438476562
AFP,AFP,5435620,20.0,225.3000030517578,0.0833333358168602,0.10000000149011612,10.779999732971191,-1.0,0.6524490118026733,4,2.2039999961853027,131.80099487304688
AFP,AFP,6131659,0.6071401238441467,349400.0,0.1875,0.10000000149011612,53580.0,-1.0,17.527999877929688,1,39.79999923706055,144.56100463867188
AFP,AFP,6721123,0.8952139616012573,312.0,0.19512499868869781,0.9955999851226807,63.02000045776367,67.7300033569336,7.361820220947266,1,6.250999927520752,132.2480010986328
PC,PC,5938970,1.319972038269043,1323.0,0.09324999898672104,0.7329000234603882,19.5,21.5,125.41300201416016,1,2.5250000953674316,195.6269989013672
AFP,AFP,9851142,0.6071401238441467,1279.0,0.3125,0.10000000149011612,3098.0,-1.0,8.480219841003418,2,7.98199987411499,132.7169952392578
AFP,AFP,4571780,0.5,36.790000915527344,0.21449999511241913,0.7023000121116638,9.361000061035156,9.416000366210938,2.076930046081543,3,1.2000000476837158,132.50599670410156
AFP,AFP,8129005,20.0,69.04000091552734,0.23675000667572021,0.6707000136375427,8.937000274658203,9.321000099182129,3.569999933242798,1,0.8932999968528748,134.47999572753906
AFP,AFP,11658996,20.0,345.6000061035156,0.09041666984558105,0.5026999711990356,15.739999771118164,17.549999237060547,0.7268310189247131,3,4.001999855041504,132.0659942626953
AFP,AFP,5440852,3.484652519226074,6.446000099182129,0.11754166334867477,0.8629999756813049,8.234000205993652,8.072999954223633,0.9869379997253418,2,0.6520000100135803,132.281005859375
NTP,NTP,12406610,0.5,41.369998931884766,0.4987500011920929,0.36340001225471497,11.390000343322754,0.7512999773025513,575.3900146484375,1,8.300999641418457,185.5679931640625
